ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1245384,hydrogen embrittlement,氫脆化,,* 白点,2012-11-26
1245385,belt conveyor,傳送帶,,* 皮带机,2012-11-26
1245386,demonstration [nuclear power] reactor,示範堆；示範（核電）反應堆,,* 示范堆,2012-11-26
1245387,vertical spindle mill,立軸式磨煤機,,* 立轴式磨煤机,2012-11-26
1245388,quadrature-axis subtransient reactance,象限軸次暫態電抗；正交軸次暫態電抗,,* 交轴超/次瞬态电抗,2012-11-26
1245389,quadrature-axis transient reactance,象限軸暫態電抗；正交軸暫態電抗,,* 交轴瞬态电抗,2012-11-26
1245390,Helmholtz function,亥姆霍茲函數,,* 亥姆霍兹函数,2012-11-26
1245391,annunciator,信號器；警報器；指示器,,* 光字牌,2012-11-26
1245392,optical fiber,光纖,,* 光导纤维,2012-11-26
1245393,four-quadrant characteristic curve,四象限特性曲線,,* 全特性曲线,2012-11-26
1245394,resonance,共振；諧振,,* 共振,2012-11-26
1245395,resonance absorption,諧振吸收；共振吸收,,* 共振俘获,2012-11-26
1245396,back-to-back synchronous starting,背靠背同步起動,,* 同步拖动启动,2012-11-26
1245397,coincidence factor,重合因數,,* 同时率,2012-11-26
1245399,contract price,合同價格；包價,,* 合约电价,2012-11-26
1245400,ground temperature,地面溫度；地溫,,* 地中温度,2012-11-26
1245401,analysis of structural response to seismic excitation,地震反應分析；地震回應分析,,* 地震反应分析,2012-11-26
1245402,geothermal direct use,地熱直接利用,,* 地热非电利用,2012-11-26
1245403,water and steam quality monitoring instrument,水、汽品質監測儀錶,,* 在线化学监测仪表,2012-11-26
1245404,fuel temperature coefficient,燃料溫度係數,,* 多普勒反应性系数,2012-11-26
1245405,Doppler effect,都卜勒效應,,* 多普勒展宽,2012-11-26
1245406,polytropic process,多變過程；多方過程,,* 多变过程,2012-11-26
1245407,multi-stage distillation,多級蒸餾,,* 多级闪蒸,2012-11-26
1245408,coal storage,儲煤量；儲煤；煤棧；煤倉,,* 存煤,2012-11-26
1245409,safety injection pump,安全注入泵,,* 安注泵,2012-11-26
1245410,shunt release,並聯脫扣器,,* 并联脱扣器,2012-11-26
