ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3185527,schizophrenia,精神分裂症,,精神分裂症,2017-07-24
3185528,sclera,鞏膜,,巩膜,2017-07-24
3185529,scrotum,陰囊,,阴囊,2017-07-24
3185530,scurvy,壞血病,,坏血病,2017-07-24
3185531,secondary sex characteristics,次要性徵,,第二性征,2017-07-24
3185532,secondary sexual characteristics,第二性徵,,副性征,2017-07-24
3185533,sedative,鎮靜劑；鎮定劑,,镇静药,2017-07-24
3185534,Self-regulation,自動調整；自調節；自律；自我管制；自動調節,,自身调节,2017-07-24
3185535,sensation,知覺；感覺；羶色腥；感官,,感觉,2017-07-24
3185536,sensory neuron,感覺神經元,,感觉神经元,2017-07-24
3185537,septic tank,化糞池；腐化槽,,化粪池,2017-07-24
3185538,sequela,後遺症,,后遗症,2017-07-24
3185539,serratus anterior muscle,前鋸肌(anterior serratus muscle),,前锯肌,2017-07-24
3185540,serum,血清；漿液；血清,,血清,2017-07-24
3185541,sexual prematurity,性早熟,,性早熟,2017-07-24
3185542,sheath of rectus abdominis,腹直肌鞘；腹直肌鞘(Vagina m. recti abdominis ),,腹直肌鞘,2017-07-24
3185543,shivering,粉碎；顫抖；肌震顫,,寒战,2017-07-24
3185544,shock,震動；休克；電擊；乾草堆；玉米堆；沖擊；陡震；震波；衝擊；激變；地震；震盪；猝變；電震；爆震；捆(12包)；豆麻紗；衝擊,,休克,2017-07-24
3185545,shock wave,震波；衝擊波,,冲击波,2017-07-24
3185546,sickness rate,患病率,,患病率,2017-07-24
3185547,side effect,副效應；副作用；旁效應,,副作用,2017-07-24
3185548,sinoatrial node,竇房結,,窦房结,2017-07-24
3185549,sinusitis,鼻竇炎；竇炎,,鼻窦炎,2017-07-24
3185550,skeletal muscle,骨骼肌；隨意肌；骨肌,,骨骼肌,2017-07-24
3185551,sleep,暫息；休眠；睡眠；睡覺,,睡眠,2017-07-24
3185552,small saphenous vein,小顯靜脈,,小隐静脉,2017-07-24
3185553,smallpox,天花；痘瘡,,天花,2017-07-24
3185554,smooth muscle,平滑肌,,平滑肌,2017-07-24
3185555,snow blindness,雪盲[症],,雪盲,2017-07-24
3185556,somatic nerve,腹部神經；體神經,,躯体神经,2017-07-24
3185557,somatic nervous system,體神經系統,,躯体神经系统,2017-07-24
3185558,sorbitol,山梨醇；花楸醇；甜醇；山梨聚糖醇；山梨糖醇,,山梨糖醇,2017-07-24
3185559,sour milk,酸乳；酸乳油,,酸奶,2017-07-24
3185560,soybean sauce,黃豆調味醬；黃豆調味汁；黃豆佐料,,酱油,2017-07-24
3185561,spasm,痙攣,,痉挛,2017-07-24
3185562,specific drug,特殊藥物,,特效药,2017-07-24
3185563,spermatozoon,精子[動]；精子動物,,精子,2017-07-24
3185564,sphenoid bone,蝶骨,,蝶骨,2017-07-24
3185565,spinal cord,脊髓,,脊髓,2017-07-24
3185566,spinal nerves,脊椎神經；脊神經,,脊神经,2017-07-24
3185567,Spirit Drug,精神藥物,,精神药品,2017-07-24
3185568,spleen,脾[臟],,脾,2017-07-24
3185569,splint,夾板；骨贅(獸足),,夹板,2017-07-24
3185570,spongy bone,海綿質骨,,骨松质,2017-07-24
3185571,sprain,扭傷,,扭伤,2017-07-24
3185572,sputum,痰；銹色痰,,痰,2017-07-24
3185573,starch,澱粉,,淀粉,2017-07-24
3185574,stasis,停滯；鬱積；靜止｛生物進化｝；力的靜態 平衡,,淤滞,2017-07-24
3185575,sterillization,絕育；滅菌(sterilization ),,绝育,2017-07-24
3185576,sternal angle,胸骨角；腹板角,,胸骨角,2017-07-24
3185577,sternocleidomastoid,胸鎖乳突肌；鎖乳突肌(sternocleidomastoid muscle ),,胸锁乳突肌,2017-07-24
3185578,sternum,胸骨；龍骨；腹甲；腹板；龍骨(家禽),,胸骨,2017-07-24
3185579,sterol,固醇；硬脂醇,,固醇,2017-07-24
3185580,stethophone,電子聽診器,,听诊器,2017-07-24
3185581,stimulus,刺激物；刺激；刺激源；激勵,,刺激,2017-07-24
3185582,stomach,食慾；胃　,,胃,2017-07-24
3185583,stomach cancer,胃癌,,胃癌,2017-07-24
3185584,strabismus,斜視；斜眼,,斜视,2017-07-24
3185585,Stress response,壓力反應(stress responses ),,应激反应,2017-07-24
3185586,stuttering,口吃,,口吃,2017-07-24
3185587,sublingual gland,舌下腺,,舌下腺,2017-07-24
3185588,submandibular lymph nodes,頜下淋巴結,,下颌下淋巴结,2017-07-24
3185589,submaxillary gland,頜下腺,,颌下腺,2017-07-24
3185590,suckling,乳嬰；乳仔畜；吸吮；吮,,乳儿,2017-07-24
3185591,sucrose,糖晶狀；蔗糖,,蔗糖,2017-07-24
3185592,sudden death,瘁死,,猝死,2017-07-24
3185593,sunstroke,中暑；日射病,,日射病,2017-07-24
3185594,superciliary arch,眉弓(superciliary arches ),,眉弓,2017-07-24
3185595,superficial inguinal lymph nodes,腹股溝淺淋巴結,,腹股沟浅淋巴结,2017-07-24
3185596,superficial temporal artery,淺顳動脈,,颞浅动脉,2017-07-24
3185597,superficial vein,表面靜脈,,浅静脉,2017-07-24
3185598,supraspinal ligament,神經)索上韌帶；棘(突)上韌帶,,棘上韧带,2017-07-24
3185599,surveille,監視(surveillence),,监护,2017-07-24
3185600,Sustained and Controlled Release Prepgration,緩釋；控釋製劑,,缓释与控释制剂,2017-07-24
3185601,sweetener,甜味劑,,甜味剂,2017-07-24
3185602,sympathetic ganglion,交感神經節；交感神經結,,交感神经节,2017-07-24
3185603,symptom,症狀；徵兆；述象；表征；故障特征(電子設備)；徵狀；病徵；徵候,,症状,2017-07-24
3185604,synapse,突觸；神經結；神經鍵； 聯會；神經元突觸,,突触,2017-07-24
3185605,syphilis,梅毒,,梅毒,2017-07-24
3185606,systemic circulation,全身[性]循環；體循環,,体循环,2017-07-24
3185607,tactile sensation,觸覺,,触觉,2017-07-24
3185608,tarsal bones,跗骨,,跗骨,2017-07-24
3185609,telencephalon,端腦；終腦,,端脑,2017-07-24
3185610,temporal bone,顳骨,,颞骨,2017-07-24
3185611,temporomandibular joint,顳顎關節,,颞下颌关节,2017-07-24
3185612,tenderness,柔軟性；嫩性；嫩度；柔嫩,,压痛,2017-07-24
3185613,tendo calcaneus,跟腱,,跟腱,2017-07-24
3185614,test-tube baby,試管嬰兒,,试管婴儿,2017-07-24
3185615,testis,睪丸,,睾丸,2017-07-24
3185616,thanatosis,假死狀態；假死,,假死,2017-07-24
3185617,thermoplegia,中署；熱射病,,热射病,2017-07-24
3185618,third ventricle,第三腦室；第三心室,,第三脑室,2017-07-24
3185619,thoracic cage,肋骨架,,胸廓,2017-07-24
3185620,thoracic duct,胸管,,胸导管,2017-07-24
3185621,thoracic vertebra,胸椎；胸椎骨,,胸椎,2017-07-24
3185622,Threshold,閾[值]；低限；門檻；臨界(值)；(若干現象之)下部限界；界限；靈敏限；開始；底限；底限值；冰谷橫階；海底山脊；定限；冰斗丘；海閾；閾限；臨界值；臨界(閾),,阈值,2017-07-24
3185623,thrombocyte,血小板；血栓細胞；凝血細胞；栓球,,血小板,2017-07-24
3185624,thrombus,血栓,,血栓,2017-07-24
3185625,thymus,胸腺；麝香草,,胸腺,2017-07-24
3185626,thyroid gland,甲狀腺；盾狀腺,,甲状腺,2017-07-24
3185627,tibia,脛骨,,胫骨,2017-07-24
3185628,tic,抽搐(convulsion；tetany),,抽搐,2017-07-24
3185629,tinea pedis,足癬,,足癣,2017-07-24
3185630,tinnitus,耳鳴,,耳鸣,2017-07-24
3185631,toleration,耐性,,耐受性,2017-07-24
3185632,tongue,舌[頭]；榫；岩舌；岩股；銜鐵；舌片；語言；舌狀體；舌板；鞋舌；銜鐵,,舌,2017-07-24
3185633,tonsil,扁桃腺,,扁桃体,2017-07-24
3185634,tonsillitis,扁桃腺炎,,扁桃体炎,2017-07-24
3185635,tooth,牙齒；鉸齒；牙；齒；齒狀物；加齒；使成鋸齒狀,,牙齿,2017-07-24
3185636,trachea,氣管；導管,,气管,2017-07-24
3185637,trachoma,砂眼；女陰乾皺,,沙眼,2017-07-24
3185638,traction,牽引；曳引力；掃流；拖引搬運；掃動；牽引力；曳引,,牵引,2017-07-24
3185639,Traditional Chinese Medicine Patent Prescription,中成藥,,中成药,2017-07-24
3185640,tranquilize,安神,,安定,2017-07-24
3185641,transversus abdominis,腹橫肌(M. transversus abdominis ),,腹横肌,2017-07-24
3185642,trapezius,斜方肌,,斜方肌,2017-07-24
3185643,trauma,創傷；外傷傷害；外傷；挫傷；關節痛；損傷,,创伤,2017-07-24
3185644,tremor,微震；顫動；震顫；顫抖,,震颤,2017-07-24
3185645,triceps brachii,肱三頭肌(M. triceps brachii ),,肱三头肌,2017-07-24
3185646,triceps surae,小腿三頭肌,,小腿三头肌,2017-07-24
3185647,trigeminal nerve,三叉神經,,三叉神经,2017-07-24
3185648,trochlear nerve,滑車神經,,滑车神经,2017-07-24
3185649,tsutsugamushi disease,恙蟲病,,恙虫病,2017-07-24
3185650,tuberculosis of intestine,腸結核症；腸結核[病],,肠结核,2017-07-24
3185651,tumor,腫瘤；瘤,,肿瘤,2017-07-24
3185652,twins,雙生子；孿生；雙胎；學生,,孪生,2017-07-24
3185653,typhlitis,盲腸炎,,盲肠炎,2017-07-24
3185654,typhoid,傷寒[病]；傷寒的,,伤寒,2017-07-24
3185655,ulcer,潰瘍；腐爛物；潰爛,,溃疡,2017-07-24
3185656,ulna,尺骨,,尺骨,2021-07-14
3185657,ulnar artery,尺動脈,,尺动脉,2017-07-24
3185658,upper respiratory tract,上呼吸道,,上呼吸道,2017-07-24
3185659,ureter,輸尿管,,输尿管,2017-07-24
3185660,urethra,尿道,,尿道,2017-07-24
3185661,urethritis,尿道炎,,尿道炎,2017-07-24
3185662,urinary bladder,膀胱,,膀胱,2017-07-24
3185663,urine,尿；尿液,,尿,2017-07-24
3185664,urticaria,蕁麻疹；風疹塊,,荨麻疹,2017-07-24
3185665,uterine tube,輸卵管；喇叭管,,输卵管,2017-07-24
3185666,uterus,子宮,,子宫,2017-07-24
3185667,vagina,葉莖；鞘；膣；葉基；葉鞘；陰道,,阴道,2017-07-24
3185668,vagus nerve,迷走神經,,迷走神经,2017-07-24
3185669,Validity,效度；確認；驗證；有效性；有效度；真實性；有效；效力；合法性；正當；正確,,有效期,2017-07-24
3185670,varicella,水痘,,水痘,2017-07-24
3185671,vein,血管；蝦腸；岩脈；礦脈；脈；礦脈；紋理；破；裂縫；葉脈 {植物}；靜脈 {動物},,静脉,2017-07-24
3185672,venereal disease,花柳病；性病,,性病,2017-07-24
3185673,ventricle,心室；腦室；室,,脑室,2017-07-24
3185674,vermiform appendix,闌尾；蚓突　,,阑尾,2017-07-24
3185675,vertebrae,脊椎骨；脊椎,,椎骨,2017-07-24
3185676,vertebral column,脊柱,,脊柱,2017-07-24
3185677,vinegar,[食]醋；醋；醋劑,,食醋,2017-07-24
3185678,visceral nerve,內臟神經,,内脏神经,2017-07-24
3185679,visual acuity,視力；明視度；視覺敏銳度；視力敏度；視覺銳度； 視覺靈敏度；視敏度,,视力,2017-07-24
3185680,visual field,視野；視域；視場,,视野,2017-07-24
3185681,visual perception,視知覺；視覺；視覺感受,,视觉,2017-07-24
3185682,vital capacity,肺活量,,肺活量,2017-07-24
3185683,vitamin,維生素；維他命,,维生素,2017-07-24
3185684,vitamin A,維生素A；維生素甲一；維生素甲二,,维生素A,2017-07-24
3185685,vitamin B1,維生素B1；維生素乙一,,维生素B1,2017-07-24
3185686,vitamin B12,維生素B12,,维生素B12,2017-07-24
3185687,vitamin B2,維生素B2；維生素乙二,,维生素B2,2017-07-24
3185688,vitamin B6,維生素B6；維生素乙六,,维生素B6,2017-07-24
3185689,vitamin C,維生素C；抗壞血酸,,维生素C,2017-07-24
3185690,vitamin D,維生素D；維生素丁一,,维生素D,2017-07-24
3185691,vitamin deficiency,維生素缺乏症,,维生素缺乏病,2017-07-24
3185692,vitamin K,維生素K,,维生素K,2017-07-24
3185693,vitreous body,玻化體；透明體；玻狀體,,玻璃体,2017-07-24
3185694,vomer,鋤骨；犁骨,,犁骨,2017-07-24
3185695,vomiting,嘔吐,,呕吐,2017-07-24
3185696,water-soluble vitamin,水溶性維生素,,水溶性维生素,2017-07-24
3185697,weightlessness,無重量；失重；失重狀態,,失重,2017-07-24
3185698,white matter,白質,,白质,2017-07-24
3185699,white vaginal discharge,白色陰道分泌物,,白带,2017-07-24
3185700,whooping cough,百日咳,,百日咳,2017-07-24
3185701,wine,酒,,葡萄酒,2017-07-24
3185702,wintermin,冬眠靈,,冬眠灵,2017-07-24
3185703,wisdom tooth,智齒(wisdom teeth ),,智齿,2017-07-24
3185704,xiphoid process,劍突,,剑突,2017-07-24
3185705,xylitol,木糖醇,,木糖醇,2017-07-24
3185706,youngster,少年,,少年,2017-07-24
3185707,youth,青年期；幼年期,,青年,2017-07-24
3185708,zygomatic bone,顴骨,,颧骨,2017-07-24
